id,component,type,submission_date,contact,source,reference,extraction_method,peak_identificaton,interpolation_method,extra_preprocessing,complete_sample_name,sample_source,sample_composition,sample_preparation,sample_substrate,raman_technique,raman_system,delivery_optics,laser_wavelength,laser_power,acquisition_time,orig_spectral_range,orig_spectral_resolution,orig_spatial_resolution,detector,calibration,cropping,spike_removal,denoising,background_removal,baseline_removal,normalization,additional_info
181,d-(+)-lactose monohydrate,Saccharides/Disaccharides,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1016/j.saa.2017.05.045,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,d-(+)-lactose monohydrate,Sigma-Aldrich,Without further sample processing,"Solids of the samples were measured directly
from metal discs",Metal discs,Fourier Transform,MultiRAM FT-Raman spectrometer,,1064.0,100 mW,,400-4000 cm-1,4 cm-1,,Germanium detector,,,,,,,,
182,d-(+)-maltose monohydrate,Saccharides/Disaccharides,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1016/j.saa.2017.05.045,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,d-(+)-maltose monohydrate,Sigma-Aldrich,Without further sample processing,"Solids of the samples were measured directly
from metal discs",Metal discs,Fourier Transform,MultiRAM FT-Raman spectrometer,,1064.0,100 mW,,400-4000 cm-1,4 cm-1,,Germanium detector,,,,,,,,
183,d-(+)-raffinose pentahydrate,Saccharides/Trisaccharides,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1016/j.saa.2017.05.045,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,d-(+)-raffinose pentahydrate,Sigma-Aldrich,Without further sample processing,"Solids of the samples were measured directly
from metal discs",Metal discs,Fourier Transform,MultiRAM FT-Raman spectrometer,,1064.0,100 mW,,400-4000 cm-1,4 cm-1,,Germanium detector,,,,,,,,
184,d-(+)-sucrose,Saccharides/Disaccharides,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1016/j.saa.2017.05.045,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,d-(+)-sucrose,Sigma-Aldrich,Without further sample processing,"Solids of the samples were measured directly
from metal discs",Metal discs,Fourier Transform,MultiRAM FT-Raman spectrometer,,1064.0,100 mW,,400-4000 cm-1,4 cm-1,,Germanium detector,,,,,,,,
185,d-(+)-xylose,Saccharides/Monosaccharides,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1016/j.saa.2017.05.045,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,d-(+)-xylose,Sigma-Aldrich,Without further sample processing,"Solids of the samples were measured directly
from metal discs",Metal discs,Fourier Transform,MultiRAM FT-Raman spectrometer,,1064.0,100 mW,Between 128 to 512 scans,400-4000 cm-1,4 cm-1,,Germanium detector,,,,,,,,
186,d-(-)-fructose,Saccharides/Monosaccharides,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1016/j.saa.2017.05.045,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,d-(-)-fructose,Sigma-Aldrich,Without further sample processing,"Solids of the samples were measured directly
from metal discs",Metal discs,Fourier Transform,MultiRAM FT-Raman spectrometer,,1064.0,100 mW,,400-4000 cm-1,4 cm-1,,Germanium detector,,,,,,,,
187,d-(-)-ribose,Saccharides/Monosaccharides,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1016/j.saa.2017.05.045,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,d-(-)-ribose,Sigma-Aldrich,Without further sample processing,"Solids of the samples were measured directly
from metal discs",Metal discs,Fourier Transform,MultiRAM FT-Raman spectrometer,,1064.0,100 mW,,400-4000 cm-1,4 cm-1,,Germanium detector,,,,,,,,
188,glycogen,Saccharides/Polysaccharides,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1016/j.saa.2017.05.045,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,glycogen,Sigma-Aldrich,Without further sample processing,"Solids of the samples were measured directly
from metal discs",Metal discs,Fourier Transform,MultiRAM FT-Raman spectrometer,,1064.0,100 mW,,400-4000 cm-1,4 cm-1,,Germanium detector,,,,,,,,
189,l-(+)-arabinose,Saccharides/Monosaccharides,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1016/j.saa.2017.05.045,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,l-(+)-arabinose,Sigma-Aldrich,Without further sample processing,"Solids of the samples were measured directly
from metal discs",Metal discs,Fourier Transform,MultiRAM FT-Raman spectrometer,,1064.0,100 mW,,400-4000 cm-1,4 cm-1,,Germanium detector,,,,,,,,
190,ceramide,Lipids,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1117/12.306105,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,Ceramide III,Sigma-Aldrich C-2137,,,,Spontaneous,"Custom built  confocal Raman microspectrometer with a F/2 spectrometer.  Tuneable titanium sapphire lase.  NIR sensitive, back-illummated
deep depletion CCD, liquid nitrogen cooled,  (Princeton Instruments, Trenton, NJ)","Delivery and collection: objective 80x, NA=0.75",850.0,100 mW,,,,,CCD camera,"Wavelength spectral response correction and calibration with 4-acetamidophenol, y-caprolactone and succinic anhydrid to an accuracy of 2 cm-1",,,,,,,
191,elastin,Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1074/jbc.270.44.26099,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,Bovine elastine,Purified from a fresh bovine ligamentum ,"Powder, at room temperature",Consult the reference for the purification details,,Fourier Transform,BRUCKER FRA 106 system coupled to a IFS 88 spectrometer,,1064.0,30 mW,200 scans,200-4000 cm-1,4 cm-1,,,,,,,,,,
192,keratin,Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1016/S1386-1425(98)00013-4,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,Bovine keratin,,Powder, Without further sample processing," Sample compartment of the
instrument",Fourier Transform ,Bruker IFS66 instrument with FRA106 Raman module.  Nd/YAG laser,,1064.0,25 mW,10000 scans,,4 cm-1,,,White light source spectral correction,,,,,,,
193,l-asparagine,AminoAcids,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.1250261105,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,L-Asparagine,Sigma-Aldrich,"99% purity,  microcrystalline powder",Without further sample processing,,Spontaneous,"Jobin Yvon Ramanor UlOOO spectrometer, with a Spectra-
Physics argon ion laser",,488.0,300-500 mW,,,1 cm-1,,,,,,,,,,
194,l-aspartic acid,AminoAcids,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/bip.360340810,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,L-aspartic acid,Sigma-Aldrich,">98% purity, microcrystalline powder",Without further sample processing,,Sponaneous,"Jobin
Yvon Ramanor UlOOO spectrometer, with a Spectra-
Physics Ar+ ion laser",,488.0,300-500 mW,,,1 cm-1,,,,,,,,,,
195,glucosamine,Saccharides,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1016/0304-4165(74)90196-2,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,β- D - glucosamine·HCl,Sigma-Aldrich,Without further sample processing,"Pellets of these samples were made with a hydraulic
press",,Spontaneous,"Czerny-Turner double
monochromator (Jarrel-Ach 25-102)., Argon ion laser",,488.0,300 mW,,,4 cm-1,,"Multichannel analyzer (Nuclear Data
2200)",,,,,,,,
196,tubulin,Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1016/j.bpr.2021.100043,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,Tubilin,"Cytoskeleton (Denver, CO). TL238",Powder,"The powder was directly put within the center region
of an imaging spacer (0.12 mm thick; SecureSeal, Wellingborough,
UK) and sandwiched between a coverslip (00.17 mm; Fisher,
Waltham, MA) and a glass slide (1 mm thick; VWR, Radnor, PA).",Coverslip and glass slide,Spontaneous,"Confocal
Ramanmicrospectroscope (Xplora Plus, Horiba Scientific, Piscataway,
NJ) . Equipped with a diode laser source and 2.400 lines/ mm
grating at -60.1 ºC,","Delivery and collection: x50air objective(MPlanN, 0.75numericalaperture, Olympus,
Waltham,MA)",532.0,10.5 mW,70 s,300 - 1700 cm-1,1.15 cm-1,,,,,,,"Water signal removal, method not specified","Asymmetric least squares method with
a smoothing parameter of 107 and an asymmetry parameter of 10-3",,
197,insulin,Proteins/Hormones,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1016/j.ab.2004.06.013,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,Human insulin,Sigma-Aldrich (USP grade),Purified by RP-HPLC. Consult the reference for more details. Final meaurement acquired after the purified solution is dried. ,"Purification, lyophilization, redissolution in ultra-pure water, deposition and drying. Consult the reference for more details.",Gold-coated glass sustrate,Spontaneous (drop coating deposition),"Spectra Physics model
127","Delivery and collection:  80× or 100× (Olympus MDPlan80 or LMPlanFl). 2-µm diameter spot on the deposited protein
sample",633.0,10-30 mW,60-100 s,,5 cm-1,,CCD,,,,,,,,
198,diethylstilbestrol,Lipids/Hormones,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.3390/molecules27092650,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,Diethylstilbestrol,"National Institutes for Food and Drug Control (Beijing, China)","99% purity, powder",Without further sample processing,,Spontaneous,"a DXR™ xi Raman Imaging Microscope (Thermo Fisher Scientific,
Waltham, MA, USA). DXR532 full range grating 400 lines/mm)",Delivery and collection: 10× long working distance microscope objective.  50 µm confocal pinhole,532.0,10 mW,"0.5 s, 20 scans",100-3300 cm-1,5 cm-1 ,,EMCCD,,,,,,,,
199,estradiol,Lipids/Hormones,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.3390/molecules27092650,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,Estradiol ,"National Institutes for Food and Drug Control (Beijing, China)","98 % purity, powder",Without further sample processing,,Spontaneous,"a DXR™ xi Raman Imaging Microscope (Thermo Fisher Scientific,
Waltham, MA, USA). DXR532 full range grating 400 lines/mm)",Delivery and collection: 10× long working distance microscope objective.  50 µm confocal pinhole,532.0,10 mW,"0.5 s, 20 scans",100-3300 cm-1,5 cm-1 ,,EMCCD,,,,,,,,
200,estriol,Lipids/Hormones,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.3390/molecules27092650,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,Estriol ,"National Institutes for Food and Drug Control (Beijing, China)","99% purity, powder",Without further sample processing,,Spontaneous,"a DXR™ xi Raman Imaging Microscope (Thermo Fisher Scientific,
Waltham, MA, USA). DXR532 full range grating 400 lines/mm)",Delivery and collection: 10× long working distance microscope objective.  50 µm confocal pinhole,532.0,10 mW,"0.5 s, 20 scans",100-3300 cm-1,5 cm-1 ,,EMCCD,,,,,,,,
201,estrone,Lipids/Hormones,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.3390/molecules27092650,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,Estrone ,"National Institutes for Food and Drug Control (Beijing, China)","98 % purity, powder",Without further sample processing,,Spontaneous,"a DXR™ xi Raman Imaging Microscope (Thermo Fisher Scientific,
Waltham, MA, USA). DXR532 full range grating 400 lines/mm). TE-cooled electron-multiplying CCD (EMCCD)",Delivery and collection: 10× long working distance microscope objective.  50 µm confocal pinhole,532.0,10 mW,"0.5 s, 20 scans",100-3300 cm-1,5 cm-1 ,,EMCCD,,,,,,,,
202,ethinylestradiol,Lipids/Hormones,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.3390/molecules27092650,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,Ethinylestradiol ,"National Institutes for Food and Drug Control (Beijing, China)","99% purity, powder",Without further sample processing,,Spontaneous,"a DXR™ xi Raman Imaging Microscope (Thermo Fisher Scientific,
Waltham, MA, USA). DXR532 full range grating 400 lines/mm)",Delivery and collection: 10× long working distance microscope objective.  50 µm confocal pinhole,532.0,10 mW,"0.5 s, 20 scans",100-3300 cm-1,5 cm-1 ,,EMCCD,,,,,,,,
